solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,lambda_hp,lambda_max,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
5_113_11,search_S,49133.170227309,1999292.92423357,0.01211040615495,21731.4448286258,0.00501194393797286,1999292.92423357,0.01211040615495,21731.4448286258,0.00501194393797286,TRUE,0.111321014032676,0.0996901686459631,0,0.0541769058522814,0.182924823167566,0.943714964048727,45188.7516149143,0.000590162852981783,65481090.2533626,11,113,1,5,1355,3,3666600,47618.1818181818,0.111321014032676,0.0996901686459631,0.537991359611099,0.545271620638622,1.83394837022473,25618.1703785722,0.348275716420176
5_113_11,season,0.358284149009757,-2887051.73075651,-0.01748786714844,-31380.9970734404,-0.00723742941576515,-2887051.73075651,-0.01748786714844,-31380.9970734404,-0.00723742941576515,FALSE,,,0,0.0541769058522814,0.182924823167566,0.943714964048727,45188.7516149143,0.000590162852981783,65481090.2533626,11,113,1,5,1355,3,,,,,,,,,
5_113_11,trend,-0.360362888780199,-99735291.2578844,-0.604131025761641,0,0,-99735291.2578844,-0.604131025761641,0,0,FALSE,,,0,0.0541769058522814,0.182924823167566,0.943714964048727,45188.7516149143,0.000590162852981783,65481090.2533626,11,113,1,5,1355,3,,,,,,,,,
5_113_11,tv_S,504525.121960153,6892294.12062323,0.0417490004232967,74916.2404415568,0.0172780042973573,6892294.12062323,0.0417490004232967,74916.2404415568,0.0172780042973573,TRUE,0.311135800761756,0.343668481448714,0,0.0541769058522814,0.182924823167566,0.943714964048727,45188.7516149143,0.000590162852981783,65481090.2533626,11,113,1,5,1355,3,10247935.1,256198.3775,0.311135800761756,0.343668481448714,0.543532602209968,0.672554427147302,1.48686851150707,139252.170804547,0.543933518085396
5_116_5,(Intercept),1608840.94356896,148013366.808344,0.896567964945809,1608840.94356896,0.373470197541363,148013366.808344,0.896567964945809,1608840.94356896,0.373470197541363,TRUE,,,0,0.0541216982558754,0.181071219643818,0.943829617267135,45188.7516149143,0.000590162852981783,65481090.2533626,5,116,1,5,1385,2,,,,,,,,,
5_116_5,competitor_sales_B,0.168725270967707,82585091.8075718,0.500246358105296,897664.04138665,0.208380305214479,82585091.8075718,0.500246358105296,897664.04138665,0.208380305214479,TRUE,,,0,0.0541216982558754,0.181071219643818,0.943829617267135,45188.7516149143,0.000590162852981783,65481090.2533626,5,116,1,5,1385,2,,,,,,,,,
5_116_5,events,1.00715990059719,1217493.00834393,0.0073747746731556,1217493.00834393,0.282624181183977,1217493.00834393,0.0073747746731556,1217493.00834393,0.282624181183977,TRUE,,,0,0.0541216982558754,0.181071219643818,0.943829617267135,45188.7516149143,0.000590162852981783,65481090.2533626,5,116,1,5,1385,2,,,,,,,,,
5_116_5,facebook_S,34875.1914853376,760651.867126584,0.00460753046327884,8267.95507746287,0.00191929154239032,760651.867126584,0.00460753046327884,8267.95507746287,0.00191929154239032,TRUE,0.181827675117088,0.0381224387745204,0,0.0541216982558754,0.181071219643818,0.943829617267135,45188.7516149143,0.000590162852981783,65481090.2533626,5,116,1,5,1385,2,5988890.41190929,136111.145725211,0.181827675117088,0.0381224387745204,0.0974504262279624,0.127010483546999,7.87336582046758,13264.0891652981,0.162227118791634
5_116_5,holiday,1.09195649998625,4907598.50460722,0.0297270151941354,306724.906537951,0.0712019493869094,4907598.50460722,0.0297270151941354,306724.906537951,0.0712019493869094,TRUE,,,0,0.0541216982558754,0.181071219643818,0.943829617267135,45188.7516149143,0.000590162852981783,65481090.2533626,5,116,1,5,1385,2,,,,,,,,,
5_116_5,newsletter,373494.199660067,8431808.21192357,0.0510743677573822,91650.0892600388,0.0212753019976602,8431808.21192357,0.0510743677573822,91650.0892600388,0.0212753019976602,TRUE,,,0,0.0541216982558754,0.181071219643818,0.943829617267135,45188.7516149143,0.000590162852981783,65481090.2533626,5,116,1,5,1385,2,,,,,,,,,
