solID,mape,decomp.rssd,nrmse,tv_S,ooh_S,print_S,facebook_S,search_S,cluster,top_sol
2_132_6,0,0.0587976866043574,0.0616676120656636,0.599537394916874,0.614794772405452,0.392944832047852,0.858202371113945,0.660638337920732,3,FALSE
2_132_7,0,0.22742825133296,0.0527507331137033,0.203791618977031,0.264649401602337,0.518325861679374,0,0.617200700068603,2,FALSE
2_133_1,0,0.266507054476686,0.0521022468929895,0.475590809565331,0.223416458538274,0.585930304983645,0,0.233397644848112,2,FALSE
2_133_8,0,0.201420934501883,0.05365568369714,0.581358334084506,0.324121254495789,0.60675682546614,0.142194615933345,0.756911143816512,1,FALSE
2_136_2,0,0.19845965706728,0.0536297105218779,0.574850892500042,0.340182480064106,0.576759802557713,0.139336877684975,0.751599534197619,1,FALSE
2_136_4,0,0.172235897181729,0.0542565341273409,0.405117547654892,0.519241861564718,0.532900839134583,0.192438729675327,0.848442563084775,1,FALSE
2_136_7,0,0.252969390746467,0.0523206180990409,0.637884505232468,0.348310574930381,0.751382061986589,0,0.422261463568012,2,FALSE
2_141_4,0,0.149120927980059,0.0548814450665411,0.359185633651876,0.701378841604071,0.314382626895878,0.238856027219423,0.858566399378185,1,FALSE
2_143_10,0,0.161492326699951,0.0547433522013311,0.362213806750295,0.674602637262727,0.347033496961794,0.195720757947235,0.563619950565556,1,FALSE
2_145_1,0,0.212993191153544,0.0534644075117471,0.171503053670576,0.270969853566622,0.307391565086939,0,0.64487746156741,4,FALSE
2_145_12,0,0.241560685723868,0.0523347478692431,0.27478676756102,0.364836827549346,0.531762574990876,0,0.299003998879859,2,FALSE
2_145_4,0,0.263919892267327,0.0520679829972973,0.568519548471312,0.497970451698575,0.734808636903139,0,0.168822391146637,2,FALSE
2_145_7,0,0.216211610883937,0.0533690792191669,0.444718085507275,0.327728550448474,0.578141191858794,0.0517744916699342,0.675341323967019,1,FALSE
2_146_4,0,0.156226357726975,0.0545568484535698,0.375473979761632,0.647675321580886,0.320106892247554,0.200184561684515,0.81728581390352,1,FALSE
2_147_10,0,0.282377174141354,0.0518914506762144,0.586408609751745,0.272425674767028,0.523147655627455,0,0.0852823400930344,2,FALSE
